PartitionKey,RowKey,Longitude,Latitude
"2867 Ellesmere Rd, Scarborough, ON M1E 4B9, Canada","scarborough health network - centenary hospital, 2867, neilson road, morningside, scarborough—guildwood, scarborough, toronto, golden horseshoe, ontario, m1e 5e1, canada",-79.204,43.781
"2970 Hørsholm, Danmark","hørsholm, hørsholm kommune, region hovedstaden, 2970, danmark",12.497,55.882
"2HCJ+XGV, Batadu, Rajasthan 344035, India","chc, batadu, batadoo, baytoo tehsil, balotra district, rajasthan, 344035, india",71.581,26.022
"2JM5+7JW, Sayedna Kutbuddin Saheed Marg, Saraspur, Ahmedabad, Gujarat 380018, India","smt. shardaben hospital blood bank, sarangpur railway station road, sarangpur, maninagar taluka, ahmedabad, gujarat, 380018, india",72.609,23.033
"2JXW+GJ7, Loyal, Rajasthan 333514, India","government hospital, loyal, mdr93, khojiyon ki dhani, जसरापुर, jhunjhunūn, neem ka thana district, rajasthan, 333514, india",75.647,28.049
"2P2H+HCM, Bhupati Nagar, West Bengal 721425, India","bhupatinagar mugberia rural hospital, ভূপতি নগর, bhagwanpur-ii, পূর্ব মেদিনীপুর, west bengal, 721425, india",87.728,22.001
"2QMX+F7W, Kajlagarh, Kismat Bajkul, West Bengal 721626, India","kajlagarh power house, kajlagarh, এগরা-ভগবানপুর-বাজকুল রোড, ভগবানপুর, পূর্ব মেদিনীপুর, west bengal, 721626, india",87.798,22.034
"2R23+FGW, Juna Nagdavas, C N Dangar, Gujarat 363641, India","nagdavas bus-stand નાગડવાસ બસ-સ્ટેન્ડ, nh27, morbi, morbi taluka, morbi district, gujarat, 363600, india",70.804,23.001
"2RG9+MCJ, Egra - Bajkul Rd, Bajkul, Kismat Bajkul, West Bengal 721626, India","বাজকুল মিলনী কলেজ, এগরা-ভগবানপুর-বাজকুল রোড, bhagwanpur-ii, পূর্ব মেদিনীপুর, west bengal, 721655, india",87.819,22.027
"2RVQ+MH5, Mahim Koliwada, Mahim West, Mahim, Mumbai, Maharashtra 400016, India","anushaktinagar annex, zone 5, mumbai, mumbai suburban district, maharashtra, india",72.839,19.044
